"","river","g","value_No.Pet.Stores","value_No.Garden.Centtres","value_BoatLaunch","value_RecFishproportion","norm_No.Pet.Stores","norm_No.Garden.Centtres","norm_BoatLaunch","norm_RecFishproportion","CDV_PetStore","132","CDV_WaterGarden_Nurseries","CDV_RecFishing","CDV_UncleanedGear","190","PIV_PetSore","PIV_WaterGarden_Nurseries","PIV_RecFishing","PIV_UncleanedGear","SI_f_PetStore","SI_f_WaterGarden_Nurseries","SI_f_RecFishing","SI_f_UncleanedGear","TP_PetStore","TP_WaterGarden_Nurserie","TP_RecFishing","TP_UncleanedGear","TV_f_PetStore","TV_f_WaterGarden_Nurseries","TV_f_RecFishing","TV_f_UncleanedGear","RV_PetStore","RV_WaterGarden_Nurserie","RV_RecFishing","RV_UncleanedGear"
"1","CHETICAMP_RIVER",1,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"2","WRECK_COVE",2,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"3","MARGAREE",3,0,0,1,2,0,0,0.5,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,1,0.638,0.211333333333333,0.627589743589744,1
"4","INDIAN",4,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"5","NORTH_BADDECK.MIDDLE",5,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"6","SALMON_MIRA",6,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"7","SALMON_MIRA.1",7,3,0,1,2,0.3,0,0.5,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0461538461538461,0,0.230769230769231,1,0.653384615384615,0.211333333333333,0.627589743589744,1
"8","RIVER_INHABITANTS",8,1,0,0,2,0.1,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0153846153846154,0,0.230769230769231,0,0.643128205128205,0.211333333333333,0.627589743589744,0.666666666666667
"9","RIVER_DENYS.BIG",9,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"10","TIDNISH_SHINIMICAS",10,0,0,0,1,0,0,0,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,0,0.638,0.211333333333333,0.550666666666667,0.666666666666667
"11","MISSAGUASH",11,0,0,0,1,0,0,0,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,0,0.638,0.211333333333333,0.550666666666667,0.666666666666667
"12","PHILIP_WALLACE",12,0,1,0,2,0,0.125,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0.0769230769230769,0.230769230769231,0,0.638,0.236974358974359,0.627589743589744,0.666666666666667
"13","GRAND",13,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"14","KELLY_MACCAN.HEBERT",14,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"15","RIVER_JOHN",15,0,0,0,3,0,0,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.461538461538462,0,0.638,0.211333333333333,0.70451282051282,0.666666666666667
"16","GRAND_1",16,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"17","PARRSBORO",17,0,0,0,1,0,0,0,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,0,0.638,0.211333333333333,0.550666666666667,0.666666666666667
"18","ISLE_MADAME",18,0,0,1,1,0,0,0.5,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,1,0.638,0.211333333333333,0.550666666666667,1
"19","SALMON_DEBERT",19,2,1,0,3,0.2,0.125,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0307692307692308,0.0769230769230769,0.461538461538462,0,0.64825641025641,0.236974358974359,0.70451282051282,0.666666666666667
"20","ECONOMY",20,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"21","SHUBENACADIE_STEWIACKE",21,3,1,1,4,0.3,0.125,0.5,0.75,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0461538461538461,0.0769230769230769,0.692307692307692,1,0.653384615384615,0.236974358974359,0.781435897435897,1
"22","GASPEREAU",22,4,8,0,3,0.4,1,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0615384615384615,0.615384615384615,0.461538461538462,0,0.65851282051282,0.416461538461538,0.70451282051282,0.666666666666667
"23","KENNETCOOK",23,0,0,0,1,0,0,0,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,0,0.638,0.211333333333333,0.550666666666667,0.666666666666667
"24","EAST_WEST...SHEET.HBR.",24,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"25","MUSQUODOBOIT",25,0,1,2,2,0,0.125,1,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0.0769230769230769,0.230769230769231,2,0.638,0.236974358974359,0.627589743589744,1.33333333333333
"26","ANNAPOLIS",26,1,3,0,2,0.1,0.375,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0153846153846154,0.230769230769231,0.230769230769231,0,0.643128205128205,0.28825641025641,0.627589743589744,0.666666666666667
"27","ST_.CROIX",27,0,1,2,4,0,0.125,1,0.75,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0.0769230769230769,0.692307692307692,2,0.638,0.236974358974359,0.781435897435897,1.33333333333333
"28","TANGIER",28,0,0,0,1,0,0,0,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,0,0.638,0.211333333333333,0.550666666666667,0.666666666666667
"29","EAST_INDIAN.RIVER",29,0,0,1,3,0,0,0.5,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.461538461538462,1,0.638,0.211333333333333,0.70451282051282,1
"30","SACKVILLE",30,10,4,0,2,1,0.5,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.153846153846154,0.307692307692308,0.230769230769231,0,0.689282051282051,0.313897435897436,0.627589743589744,0.666666666666667
"31","LAHAVE",31,1,1,0,3,0.1,0.125,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0153846153846154,0.0769230769230769,0.461538461538462,0,0.643128205128205,0.236974358974359,0.70451282051282,0.666666666666667
"32","GOLD",32,1,1,0,2,0.1,0.125,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0153846153846154,0.0769230769230769,0.230769230769231,0,0.643128205128205,0.236974358974359,0.627589743589744,0.666666666666667
"33","HERRING_COVE.MEDWAY",33,0,0,0,3,0,0,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.461538461538462,0,0.638,0.211333333333333,0.70451282051282,0.666666666666667
"34","SISSIBOO_BEAR",34,3,0,1,2,0.3,0,0.5,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0461538461538461,0,0.230769230769231,1,0.653384615384615,0.211333333333333,0.627589743589744,1
"35","MERSEY",35,0,1,1,4,0,0.125,0.5,0.75,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0.0769230769230769,0.692307692307692,1,0.638,0.236974358974359,0.781435897435897,1
"36","METEGHAN",36,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"37","SISSIBOO_BEAR.1",37,0,0,0,1,0,0,0,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,0,0.638,0.211333333333333,0.550666666666667,0.666666666666667
"38","ROSEWAY_SABLE.JORDAN",38,0,1,1,4,0,0.125,0.5,0.75,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0.0769230769230769,0.692307692307692,1,0.638,0.236974358974359,0.781435897435897,1
"39","BARRINGTON_CLYDE",39,1,1,0,2,0.1,0.125,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0153846153846154,0.0769230769230769,0.230769230769231,0,0.643128205128205,0.236974358974359,0.627589743589744,0.666666666666667
"40","TUSKET_RIVER",40,2,0,1,2,0.2,0,0.5,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0307692307692308,0,0.230769230769231,1,0.64825641025641,0.211333333333333,0.627589743589744,1
"41","LISCOMB",41,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"42","EAST_MIDDLE.WEST..PICTOU.",42,2,0,0,2,0.2,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0307692307692308,0,0.230769230769231,0,0.64825641025641,0.211333333333333,0.627589743589744,0.666666666666667
"43","COUNTRY_HARBOUR",43,0,0,1,2,0,0,0.5,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,1,0.638,0.211333333333333,0.627589743589744,1
"44","NEW_HBR.SALMON",44,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"45","ST_.MARYS",45,0,0,0,5,0,0,0,1,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.923076923076923,0,0.638,0.211333333333333,0.858358974358974,0.666666666666667
"46","TRACADIE",46,0,0,0,3,0,0,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.461538461538462,0,0.638,0.211333333333333,0.70451282051282,0.666666666666667
"47","CLAM_HRB.ST..FRANCIS",47,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"48","SOUTH_WEST",48,2,0,0,3,0.2,0,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0307692307692308,0,0.461538461538462,0,0.64825641025641,0.211333333333333,0.70451282051282,0.666666666666667
"49","FRENCH",49,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
